"PASSENGERS","UNIQUE_CARRIER","UNIQUE_CARRIER_NAME","ORIGIN_AIRPORT_ID","ORIGIN","ORIGIN_CITY_NAME","DEST_AIRPORT_ID","DEST","DEST_CITY_NAME","AIRCRAFT_TYPE","MONTH",
612.00,"OH","PSA Airlines Inc.",14100,"PHL","Philadelphia, PA",10980,"CHA","Chattanooga, TN","629",12,
612.00,"G4","Allegiant Air",14761,"SFB","Sanford, FL",13983,"OWB","Owensboro, KY","698",12,
612.00,"WN","Southwest Airlines Co.",11292,"DEN","Denver, CO",14570,"RNO","Reno, NV","614",12,
613.00,"OO","SkyWest Airlines Inc.",10431,"AVL","Asheville, NC",10397,"ATL","Atlanta, GA","629",12,
613.00,"OO","SkyWest Airlines Inc.",11292,"DEN","Denver, CO",15919,"XNA","Fayetteville, AR","629",12,
613.00,"LF","CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle",14131,"PKB","Parkersburg, WV",10654,"BKW","Beckley, WV","674",12,
613.00,"AA","American Airlines Inc.",11298,"DFW","Dallas/Fort Worth, TX",12478,"JFK","New York, NY","699",12,
613.00,"UA","United Air Lines Inc.",12266,"IAH","Houston, TX",10423,"AUS","Austin, TX","612",12,
613.00,"WN","Southwest Airlines Co.",12953,"LGA","New York, NY",15016,"STL","St. Louis, MO","614",12,
613.00,"WN","Southwest Airlines Co.",13244,"MEM","Memphis, TN",10821,"BWI","Baltimore, MD","614",12,
614.00,"1SQ","Star Marianas Air Inc.",14582,"ROP","Rota, TT",14955,"SPN","Saipan, TT","194",12,
614.00,"PT","Piedmont Airlines",14100,"PHL","Philadelphia, PA",11066,"CMH","Columbus, OH","675",12,
614.00,"YX","Republic Airline",11618,"EWR","Newark, NJ",11995,"GSO","Greensboro/High Point, NC","673",12,
614.00,"YX","Republic Airline",13303,"MIA","Miami, FL",11986,"GRR","Grand Rapids, MI","673",12,
614.00,"AA","American Airlines Inc.",12478,"JFK","New York, NY",12889,"LAS","Las Vegas, NV","614",12,
614.00,"UA","United Air Lines Inc.",10785,"BTV","Burlington, VT",13930,"ORD","Chicago, IL","698",12,
614.00,"UA","United Air Lines Inc.",13930,"ORD","Chicago, IL",11433,"DTW","Detroit, MI","694",12,
615.00,"9E","Endeavor Air Inc.",12323,"ILM","Wilmington, NC",10397,"ATL","Atlanta, GA","638",12,
615.00,"OO","SkyWest Airlines Inc.",13502,"MTJ","Montrose/Delta, CO",11292,"DEN","Denver, CO","629",12,
615.00,"3M","Silver Airways",11624,"EYW","Key West, FL",15304,"TPA","Tampa, FL","456",12,
615.00,"UA","United Air Lines Inc.",12264,"IAD","Washington, DC",13930,"ORD","Chicago, IL","626",12,
615.00,"G7","GoJet Airlines LLC d/b/a United Express",11433,"DTW","Detroit, MI",10785,"BTV","Burlington, VT","638",12,
615.00,"OO","SkyWest Airlines Inc.",11447,"DVL","Devils Lake, ND",11292,"DEN","Denver, CO","629",12,
615.00,"3M","Silver Airways",11624,"EYW","Key West, FL",13204,"MCO","Orlando, FL","456",12,
616.00,"WN","Southwest Airlines Co.",12953,"LGA","New York, NY",11292,"DEN","Denver, CO","614",12,
616.00,"PT","Piedmont Airlines",10994,"CHS","Charleston, SC",11278,"DCA","Washington, DC","675",12,
616.00,"UA","United Air Lines Inc.",10693,"BNA","Nashville, TN",14771,"SFO","San Francisco, CA","694",12,
616.00,"YX","Republic Airline",11278,"DCA","Washington, DC",13871,"OMA","Omaha, NE","677",12,
616.00,"9E","Endeavor Air Inc.",10693,"BNA","Nashville, TN",13204,"MCO","Orlando, FL","638",12,
616.00,"AA","American Airlines Inc.",14100,"PHL","Philadelphia, PA",11433,"DTW","Detroit, MI","614",12,
616.00,"7H","Corvus Airlines, Inc d/b/a Era Aviation d/b/a Ravn Alaska",10299,"ANC","Anchorage, AK",10304,"ANI","Aniak, AK","483",12,
617.00,"AS","Alaska Airlines Inc.",12758,"KOA","Kona, HI",13796,"OAK","Oakland, CA","614",12,
617.00,"OH","PSA Airlines Inc.",14100,"PHL","Philadelphia, PA",14122,"PIT","Pittsburgh, PA","631",12,
617.00,"UA","United Air Lines Inc.",11292,"DEN","Denver, CO",11423,"DSM","Des Moines, IA","698",12,
618.00,"YX","Republic Airline",12124,"HHH","Hilton Head, SC",10397,"ATL","Atlanta, GA","673",12,
618.00,"YX","Republic Airline",14100,"PHL","Philadelphia, PA",14524,"RIC","Richmond, VA","673",12,
619.00,"AA","American Airlines Inc.",13930,"ORD","Chicago, IL",11057,"CLT","Charlotte, NC","694",12,
619.00,"YX","Republic Airline",12953,"LGA","New York, NY",11996,"GSP","Greer, SC","673",12,
619.00,"G4","Allegiant Air",15624,"VPS","Valparaiso, FL",15919,"XNA","Fayetteville, AR","698",12,
619.00,"WN","Southwest Airlines Co.",14771,"SFO","San Francisco, CA",10800,"BUR","Burbank, CA","614",12,
620.00,"9E","Endeavor Air Inc.",10529,"BDL","Hartford, CT",11042,"CLE","Cleveland, OH","638",12,
620.00,"WN","Southwest Airlines Co.",10821,"BWI","Baltimore, MD",10792,"BUF","Buffalo, NY","614",12,
620.00,"G7","GoJet Airlines LLC d/b/a United Express",11433,"DTW","Detroit, MI",10785,"BTV","Burlington, VT","631",12,
620.00,"MQ","Envoy Air",12191,"HOU","Houston, TX",11298,"DFW","Dallas/Fort Worth, TX","675",12,
620.00,"PT","Piedmont Airlines",14100,"PHL","Philadelphia, PA",10431,"AVL","Asheville, NC","675",12,
620.00,"YV","Mesa Airlines Inc.",11066,"CMH","Columbus, OH",12264,"IAD","Washington, DC","673",12,
620.00,"OH","PSA Airlines Inc.",11278,"DCA","Washington, DC",12339,"IND","Indianapolis, IN","629",12,
