Each row contains mmyy, dd, s (susceptible), e (exposed), i (infected), and r (removed) population for a particular metro area
New York-Newark-Jersey City NY-NJ-PA MSA
01-20, 4, 4943182, 13, 10, 0
01-20, 4, 4941516, 13, 10, 0
01-20, 5, 4941511, 14, 13, 1
01-20, 5, 4939845, 14, 13, 1
01-20, 6, 4939838, 13, 21, 1
01-20, 6, 4938172, 13, 21, 1
01-20, 7, 4938168, 10, 28, 1
01-20, 7, 4936502, 10, 28, 1
01-20, 8, 4936496, 13, 31, 1
01-20, 8, 4934830, 13, 31, 1
01-20, 9, 4934825, 12, 37, 1
01-20, 9, 4933158, 13, 37, 1
01-20, 10, 4933155, 9, 42, 3
01-20, 10, 4931486, 10, 44, 3
01-20, 11, 4931483, 8, 48, 4
01-20, 11, 4929815, 9, 49, 4
01-20, 12, 4929810, 12, 49, 6
01-20, 12, 4928143, 11, 52, 5
01-20, 13, 4928137, 12, 54, 8
01-20, 13, 4926468, 14, 55, 8
01-20, 14, 4926462, 15, 59, 9
01-20, 14, 4924793, 15, 60, 11
01-20, 15, 4924791, 15, 60, 13
01-20, 15, 4923123, 17, 60, 13
01-20, 16, 4923113, 19, 67, 14
01-20, 16, 4921447, 18, 67, 15
01-20, 17, 4921443, 14, 71, 19
01-20, 17, 4919777, 14, 71, 19
01-20, 18, 4919769, 16, 71, 25
01-20, 18, 4918103, 15, 71, 26
01-20, 19, 4918097, 16, 75, 27
01-20, 19, 4916431, 15, 75, 28
01-20, 20, 4916418, 25, 75, 31
01-20, 20, 4914749, 26, 77, 31
01-20, 21, 4914738, 28, 82, 35
01-20, 21, 4913070, 28, 84, 35
01-20, 22, 4913057, 30, 91, 39
01-20, 22, 4911386, 32, 94, 39
01-20, 23, 4911379, 31, 101, 40
01-20, 23, 4909709, 31, 104, 41
01-20, 24, 4909695, 32, 115, 43
01-20, 24, 4908025, 33, 118, 43
01-20, 25, 4908014, 29, 127, 49
01-20, 25, 4906345, 29, 130, 49
01-20, 26, 4906334, 32, 136, 51
01-20, 26, 4904667, 32, 137, 51
01-20, 27, 4904652, 35, 145, 55
01-20, 27, 4902983, 37, 147, 54
01-20, 28, 4902965, 42, 157, 57
01-20, 28, 4901300, 44, 155, 56
01-20, 29, 4901282, 47, 166, 60
01-20, 29, 4899618, 47, 164, 60
01-20, 30, 4899603, 43, 176, 67
01-20, 30, 4897941, 42, 173, 67
01-20, 31, 4897921, 46, 181, 75
Boston-Cambridge-Newton MA-NH MSA
01-20, 1, 4873019, 0, 0, 0
01-20, 1, 4871090, 0, 0, 0
01-20, 2, 4871088, 2, 0, 0
01-20, 2, 4869159, 2, 0, 0
01-20, 3, 4869155, 5, 1, 0
01-20, 3, 4867225, 6, 1, 0
01-20, 4, 4867220, 7, 5, 0
01-20, 4, 4865290, 7, 6, 0
01-20, 5, 4865283, 11, 8, 1
01-20, 5, 4863354, 10, 9, 1
01-20, 6, 4863349, 11, 13, 1
01-20, 6, 4861420, 11, 13, 1
01-20, 7, 4861416, 10, 18, 1
01-20, 7, 4859487, 10, 18, 1
01-20, 8, 4859485, 9, 21, 1
01-20, 8, 4857555, 9, 22, 1
01-20, 9, 4857552, 11, 22, 2
01-20, 9, 4855624, 11, 21, 2
01-20, 10, 4855622, 9, 25, 2
01-20, 10, 4853692, 9, 26, 2
01-20, 11, 4853687, 12, 28, 2
01-20, 11, 4851757, 12, 28, 3
01-20, 12, 4851751, 12, 33, 4
01-20, 12, 4849821, 12, 33, 5
